,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_poly_feats__grade,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_weighted,split1_test_precision_weighted,split2_test_precision_weighted,split3_test_precision_weighted,split4_test_precision_weighted,split5_test_precision_weighted,split6_test_precision_weighted,split7_test_precision_weighted,split8_test_precision_weighted,split9_test_precision_weighted,mean_test_precision_weighted,std_test_precision_weighted,rank_test_precision_weighted,split0_train_precision_weighted,split1_train_precision_weighted,split2_train_precision_weighted,split3_train_precision_weighted,split4_train_precision_weighted,split5_train_precision_weighted,split6_train_precision_weighted,split7_train_precision_weighted,split8_train_precision_weighted,split9_train_precision_weighted,mean_train_precision_weighted,std_train_precision_weighted,split0_test_recall_weighted,split1_test_recall_weighted,split2_test_recall_weighted,split3_test_recall_weighted,split4_test_recall_weighted,split5_test_recall_weighted,split6_test_recall_weighted,split7_test_recall_weighted,split8_test_recall_weighted,split9_test_recall_weighted,mean_test_recall_weighted,std_test_recall_weighted,rank_test_recall_weighted,split0_train_recall_weighted,split1_train_recall_weighted,split2_train_recall_weighted,split3_train_recall_weighted,split4_train_recall_weighted,split5_train_recall_weighted,split6_train_recall_weighted,split7_train_recall_weighted,split8_train_recall_weighted,split9_train_recall_weighted,mean_train_recall_weighted,std_train_recall_weighted,split0_test_f1_weighted,split1_test_f1_weighted,split2_test_f1_weighted,split3_test_f1_weighted,split4_test_f1_weighted,split5_test_f1_weighted,split6_test_f1_weighted,split7_test_f1_weighted,split8_test_f1_weighted,split9_test_f1_weighted,mean_test_f1_weighted,std_test_f1_weighted,rank_test_f1_weighted,split0_train_f1_weighted,split1_train_f1_weighted,split2_train_f1_weighted,split3_train_f1_weighted,split4_train_f1_weighted,split5_train_f1_weighted,split6_train_f1_weighted,split7_train_f1_weighted,split8_train_f1_weighted,split9_train_f1_weighted,mean_train_f1_weighted,std_train_f1_weighted
8,0.1395047903060913,0.008709447684253179,0.036136722564697264,0.007116462663197711,0.1,3,"{'clf__C': 0.1, 'poly_feats__grade': 3}",0.925,0.9375,0.95,0.95,0.9,0.95,0.9375,0.975,0.95,0.95,0.9425,0.018708286933869684,18,0.9472222222222222,0.9472222222222222,0.9472222222222222,0.9458333333333333,0.9527777777777777,0.9444444444444444,0.9458333333333333,0.9458333333333333,0.9472222222222222,0.9444444444444444,0.9468055555555555,0.0022438186696393685,0.925,0.9408647486772488,0.95,0.9507205513784461,0.9027777777777779,0.9512828947368421,0.9492647058823529,0.9768518518518519,0.95,0.9500408496732027,0.9446803379977722,0.018382416428095457,18,0.947421359769397,0.9473666219749054,0.9472562350045877,0.9457144192550307,0.9528652192904083,0.9448940720611917,0.9456976798435649,0.9460990405161079,0.947271172551493,0.9446627699592013,0.9469248590225888,0.0022102837532339023,0.925,0.9375,0.95,0.95,0.9,0.95,0.9375,0.975,0.95,0.95,0.9425,0.018708286933869684,18,0.9472222222222222,0.9472222222222222,0.9472222222222222,0.9458333333333333,0.9527777777777777,0.9444444444444444,0.9458333333333333,0.9458333333333333,0.9472222222222222,0.9444444444444444,0.9468055555555555,0.0022438186696393685,0.925,0.9372012578616353,0.95,0.9500707102451289,0.9010344827586207,0.9497856970683058,0.938659420289855,0.9745879120879121,0.95,0.9496826371826372,0.9426022117494095,0.01836432079572397,18,0.9472625914940904,0.947282837870981,0.9471947020903932,0.9457377809456025,0.9528075982584839,0.9445451673238298,0.9457615416835276,0.9458202979105556,0.9472028834123445,0.9443815717347047,0.9467996972724512,0.002257344697949406
9,0.13631536960601806,0.009807102686376587,0.036408209800720216,0.00696279519978279,0.3,1,"{'clf__C': 0.3, 'poly_feats__grade': 1}",0.925,0.9375,0.95,0.95,0.9,0.9375,0.925,0.975,0.95,0.95,0.94,0.019202864369671495,19,0.9444444444444444,0.9444444444444444,0.9458333333333333,0.9458333333333333,0.9486111111111111,0.9430555555555555,0.9430555555555555,0.9444444444444444,0.9430555555555555,0.9444444444444444,0.9447222222222221,0.0016197088596792445,0.925,0.9408647486772488,0.95,0.9507205513784461,0.9027777777777779,0.9400328947368422,0.9326704545454545,0.9768518518518519,0.95,0.95,0.9418918278967621,0.01844495599053658,19,0.9444732026472608,0.9445126342795727,0.945940337516644,0.9457144192550307,0.9485855047087585,0.9434051715449121,0.9430485254169377,0.9446164946596383,0.9431822693338897,0.9446431401024226,0.9448121699465067,0.001560224791388809,0.925,0.9375,0.95,0.95,0.9,0.9375,0.925,0.975,0.95,0.95,0.94,0.019202864369671495,19,0.9444444444444444,0.9444444444444444,0.9458333333333333,0.9458333333333333,0.9486111111111111,0.9430555555555555,0.9430555555555555,0.9444444444444444,0.9430555555555555,0.9444444444444444,0.9447222222222221,0.0016197088596792445,0.925,0.9372012578616353,0.95,0.9500707102451289,0.9010344827586207,0.9379267227093315,0.9262380777696257,0.9745879120879121,0.95,0.95,0.9402059163432255,0.018820606594056828,19,0.9444148254826852,0.9444609971092185,0.9458148763225729,0.9457377809456025,0.9485381243757852,0.9431443551494699,0.9430480756238333,0.9444257028980354,0.9430485115387608,0.9444385506056804,0.9447071800051644,0.0015877330525365047
10,0.131911301612854,0.005486199348448763,0.04291620254516602,0.006213132776055881,0.3,2,"{'clf__C': 0.3, 'poly_feats__grade': 2}",0.9375,0.95,0.95,0.9625,0.9,0.975,0.975,0.975,0.9625,0.975,0.95625,0.022534695471649924,17,0.9569444444444445,0.9569444444444445,0.9569444444444445,0.9569444444444445,0.9611111111111111,0.9555555555555556,0.9541666666666667,0.9625,0.9583333333333334,0.9541666666666667,0.9573611111111113,0.002564747960086017,0.9374717194570135,0.9570806100217866,0.95,0.9650000000000001,0.9027777777777779,0.9756578947368422,0.9758928571428571,0.9768518518518519,0.9630921052631578,0.977,0.9580824816251285,0.02226871979366255,17,0.9569642092950983,0.956933819843464,0.9569234488790871,0.9568391546870321,0.9610694880102603,0.9555323098432865,0.9541673099473245,0.9624477049457996,0.9582500317641828,0.9541907980435005,0.9573318275259035,0.002545721139945787,0.9375,0.95,0.95,0.9625,0.9,0.975,0.975,0.975,0.9625,0.975,0.95625,0.022534695471649924,17,0.9569444444444445,0.9569444444444445,0.9569444444444445,0.9569444444444445,0.9611111111111111,0.9555555555555556,0.9541666666666667,0.9625,0.9583333333333334,0.9541666666666667,0.9573611111111113,0.002564747960086017,0.9372198879551821,0.9496597133846068,0.95,0.962562656641604,0.9010344827586207,0.9750359401955148,0.9751039304610734,0.9745879120879121,0.9625,0.974826388888889,0.9562530912373401,0.022275655795997086,17,0.9569468697285577,0.9569211806034343,0.956926484484499,0.9568877399834682,0.96107982645153,0.9555403729103467,0.954163012875134,0.9624633733301684,0.9582880584858057,0.9541712701373898,0.9573388188990334,0.0025536700297280153
11,0.13613452911376953,0.006766336257542273,0.04618337154388428,0.007627240957690657,0.3,3,"{'clf__C': 0.3, 'poly_feats__grade': 3}",0.95,0.95,0.95,0.9875,0.9125,0.975,0.975,0.975,0.975,0.9875,0.96375,0.021972994789058703,15,0.9708333333333333,0.9680555555555556,0.9722222222222222,0.9638888888888889,0.9708333333333333,0.9694444444444444,0.9666666666666667,0.9722222222222222,0.9694444444444444,0.9694444444444444,0.9693055555555556,0.0024414438654509563,0.95,0.9570806100217866,0.95,0.9881578947368421,0.9161327231121282,0.9756578947368422,0.9758928571428571,0.9768518518518519,0.975,0.9880208333333333,0.9652794664935641,0.021068708498935152,15,0.9707973385653074,0.9679124482152174,0.9721133907184836,0.9638174112680692,0.9707350277024304,0.969434136582982,0.9666627498055691,0.9720691497145872,0.9692713047357917,0.9693862975792323,0.969219925488767,0.0024245823671158874,0.95,0.95,0.95,0.9875,0.9125,0.975,0.975,0.975,0.975,0.9875,0.96375,0.021972994789058703,15,0.9708333333333333,0.9680555555555556,0.9722222222222222,0.9638888888888889,0.9708333333333333,0.9694444444444444,0.9666666666666667,0.9722222222222222,0.9694444444444444,0.9694444444444444,0.9693055555555556,0.0024414438654509563,0.95,0.9496597133846068,0.95,0.9875413678985108,0.9134369650281243,0.9750359401955148,0.9751039304610734,0.9745879120879121,0.975,0.9874640598044854,0.9637829888860228,0.021764063551297216,15,0.9708047743929998,0.9679764589297203,0.9721602277460426,0.9638495272246563,0.9707738112184924,0.9694356188035099,0.9666571739164626,0.972127886383303,0.9693400702476574,0.969411635800394,0.9692537184663239,0.0024304175488573687
12,0.1330127477645874,0.007526271755943262,0.03969087600708008,0.0046373705051650435,1,1,"{'clf__C': 1, 'poly_feats__grade': 1}",0.9375,0.95,0.95,0.9875,0.925,0.975,0.975,0.9625,0.9625,0.975,0.96,0.018371173070873832,16,0.9652777777777778,0.9652777777777778,0.9694444444444444,0.9652777777777778,0.9680555555555556,0.9666666666666667,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9694444444444444,0.9673611111111112,0.0018890931262132494,0.9374717194570135,0.9570806100217866,0.95,0.9881578947368421,0.9270833333333334,0.9756578947368422,0.9758928571428571,0.9625686813186813,0.9630921052631578,0.975,0.9612005096010514,0.017935773816399565,16,0.9651987429752654,0.9652500557731298,0.969384018269191,0.9651986934710992,0.967921376443551,0.9666537712350429,0.9666627498055691,0.9707734267832647,0.9666030191855663,0.9693862975792323,0.9673032151520913,0.001883852220717648,0.9375,0.95,0.95,0.9875,0.925,0.975,0.975,0.9625,0.9625,0.975,0.96,0.018371173070873832,16,0.9652777777777778,0.9652777777777778,0.9694444444444444,0.9652777777777778,0.9680555555555556,0.9666666666666667,0.9666666666666667,0.9708333333333333,0.9666666666666667,0.9694444444444444,0.9673611111111112,0.0018890931262132494,0.9372198879551821,0.9496597133846068,0.95,0.9875413678985108,0.9256773399014779,0.9750359401955148,0.9751039304610734,0.9622210953346857,0.9625,0.975,0.9599959275131051,0.01831070256869747,16,0.9652341474180555,0.9652155525542336,0.9694021980105201,0.9652341349677943,0.9679763239667478,0.9666565696248773,0.9666571739164626,0.9707991854888407,0.9666311957407077,0.969411635800394,0.9673218117488634,0.0018902431439552826
13,0.140047025680542,0.009614172208561502,0.041847944259643555,0.006686062557648122,1,2,"{'clf__C': 1, 'poly_feats__grade': 2}",0.9625,0.975,0.9625,0.9875,0.9375,0.975,0.9875,0.975,0.975,0.9875,0.9725,0.01457737973711326,13,0.9777777777777777,0.9736111111111111,0.975,0.9722222222222222,0.9791666666666666,0.975,0.9708333333333333,0.9777777777777777,0.975,0.975,0.9751388888888888,0.0024414438654509563,0.9627262443438914,0.9762962962962962,0.9627680311890838,0.9881578947368421,0.9390000000000001,0.9756578947368422,0.9879629629629629,0.975,0.975,0.9880208333333333,0.973059015759925,0.014392414160407067,14,0.977682792560892,0.9735123119613468,0.9748761677209502,0.9720747445010981,0.9791155122397572,0.9749782559355418,0.9708438427927305,0.977685035261946,0.9749403826991606,0.9749754560364139,0.9750684501709838,0.0024364178428855866,0.9625,0.975,0.9625,0.9875,0.9375,0.975,0.9875,0.975,0.975,0.9875,0.9725,0.01457737973711326,13,0.9777777777777777,0.9736111111111111,0.975,0.9722222222222222,0.9791666666666666,0.975,0.9708333333333333,0.9777777777777777,0.975,0.975,0.9751388888888888,0.0024414438654509563,0.9623319327731092,0.9747899635088118,0.9623730043541364,0.9875413678985108,0.9379222378606615,0.9750359401955148,0.9874903735078938,0.975,0.975,0.9874640598044854,0.9724948879903123,0.014493512558119908,13,0.9777018145206307,0.9735377661119917,0.9749095690288759,0.9721201189993661,0.9790961747772766,0.9749614491202836,0.9708202335338793,0.9777033391867007,0.974900518607717,0.9749432484786524,0.9750694232365374,0.0024344068652617764
14,0.16407399177551268,0.04279148891073142,0.04143521785736084,0.008310922617984263,1,3,"{'clf__C': 1, 'poly_feats__grade': 3}",0.9625,0.975,0.9625,1.0,0.9625,0.975,0.9875,0.975,0.975,0.9875,0.97625,0.011792476415070757,11,0.9805555555555555,0.9777777777777777,0.9777777777777777,0.975,0.9805555555555555,0.9777777777777777,0.9777777777777777,0.9805555555555555,0.9791666666666666,0.9777777777777777,0.9784722222222222,0.0016724436914989241,0.9627262443438914,0.9762962962962962,0.9627680311890838,1.0,0.96271875,0.9756578947368422,0.9879629629629629,0.975,0.975,0.9880208333333333,0.9766151012862408,0.0117885683518295,12,0.9804871096168013,0.9777391205424176,0.9776808272191582,0.9748790615570075,0.9804872955022227,0.9777707076356633,0.977740768478133,0.9804688536190338,0.9791124139639807,0.9776814942925992,0.9784047652427017,0.001679229440550959,0.9625,0.975,0.9625,1.0,0.9625,0.975,0.9875,0.975,0.975,0.9875,0.97625,0.011792476415070757,11,0.9805555555555555,0.9777777777777777,0.9777777777777777,0.975,0.9805555555555555,0.9777777777777777,0.9777777777777777,0.9805555555555555,0.9791666666666666,0.9777777777777777,0.9784722222222222,0.0016724436914989241,0.9623319327731092,0.9747899635088118,0.9623730043541364,1.0,0.9623144712430427,0.9750359401955148,0.9874903735078938,0.975,0.975,0.9874640598044854,0.9761799745386993,0.011846213788511717,12,0.9804927363572938,0.9777149015602646,0.9777006588407325,0.9749110408360293,0.9804930663726534,0.9777463979652523,0.9777158935172565,0.9804942667666738,0.9790938019816835,0.977701158635617,0.9784063922833456,0.0016775645650033832
15,0.14821088314056396,0.0352997253220014,0.03648386001586914,0.008837119088976221,3,1,"{'clf__C': 3, 'poly_feats__grade': 1}",0.9625,0.975,0.9625,0.9875,0.95,0.975,0.9875,0.975,0.975,0.975,0.9725,0.010897247358851699,13,0.9777777777777777,0.9763888888888889,0.975,0.9722222222222222,0.9777777777777777,0.9736111111111111,0.9722222222222222,0.9777777777777777,0.9763888888888889,0.975,0.9754166666666666,0.0020647317704608962,0.9627262443438914,0.9762962962962962,0.9627680311890838,0.9881578947368421,0.9521033653846154,0.9756578947368422,0.9879629629629629,0.975,0.975,0.975,0.9730672689650534,0.010632259098284698,13,0.977682792560892,0.9763093242549268,0.9748761677209502,0.9721225199322681,0.9776685291161671,0.9735627083674918,0.9722218883296468,0.9776689523175516,0.9763050512851227,0.9749168621575077,0.9753334796042525,0.002045311272227354,0.9625,0.975,0.9625,0.9875,0.95,0.975,0.9875,0.975,0.975,0.975,0.9725,0.010897247358851699,13,0.9777777777777777,0.9763888888888889,0.975,0.9722222222222222,0.9777777777777777,0.9736111111111111,0.9722222222222222,0.9777777777777777,0.9763888888888889,0.975,0.9754166666666666,0.0020647317704608962,0.9623319327731092,0.9747899635088118,0.9623730043541364,0.9875413678985108,0.9502163009404387,0.9750359401955148,0.9874903735078938,0.975,0.975,0.975,0.9724778883178417,0.010880638575770972,14,0.9777018145206307,0.9763250337337918,0.9749095690288759,0.9721600906463405,0.9777053268917535,0.9735748867298631,0.9722144791251393,0.9777054733055501,0.9763014706032865,0.9749460415817034,0.9753544186166934,0.0020493375626271823
16,0.18060314655303955,0.05620309160106795,0.04293179512023926,0.0062866028678312145,3,2,"{'clf__C': 3, 'poly_feats__grade': 2}",0.9625,0.975,0.975,1.0,0.975,0.975,0.9875,0.975,0.975,0.9875,0.97875,0.009762812094883326,7,0.9819444444444444,0.9805555555555555,0.9791666666666666,0.9777777777777777,0.9819444444444444,0.9791666666666666,0.9805555555555555,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.981111111111111,0.0018839805508681234,0.9627262443438914,0.9762962962962962,0.975,1.0,0.975,0.9756578947368422,0.9879629629629629,0.975,0.975,0.9880208333333333,0.9790664231673325,0.00974669596937246,8,0.9818713790557381,0.9804857279302287,0.9790676678969116,0.9776701811961246,0.9818715307722692,0.9791097053300036,0.9804901609992508,0.9833036742492902,0.9832702498728568,0.9833055985504686,0.9810445875853142,0.001902496968650377,0.9625,0.975,0.975,1.0,0.975,0.975,0.9875,0.975,0.975,0.9875,0.97875,0.009762812094883326,7,0.9819444444444444,0.9805555555555555,0.9791666666666666,0.9777777777777777,0.9819444444444444,0.9791666666666666,0.9805555555555555,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.981111111111111,0.0018839805508681234,0.9623319327731092,0.9747899635088118,0.975,1.0,0.975,0.9750359401955148,0.9874903735078938,0.975,0.975,0.9874640598044854,0.9787112269789815,0.009793648424216539,8,0.9818883827927333,0.9805084188174503,0.9790976527071169,0.9777059356005721,0.9818886378828321,0.9791095737978828,0.9805123483083207,0.9832805564083008,0.9832837618053427,0.9832817702057339,0.9810557038326285,0.0018892804407418483
17,0.19993598461151124,0.05228215609247553,0.03845324516296387,0.009558850153698298,3,3,"{'clf__C': 3, 'poly_feats__grade': 3}",0.975,0.975,0.975,1.0,0.975,0.975,0.9875,0.975,0.975,0.9875,0.98,0.008291561975888517,6,0.9847222222222223,0.9819444444444444,0.9819444444444444,0.9805555555555555,0.9833333333333333,0.9847222222222223,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9830555555555553,0.0012108052620946577,0.975,0.9762962962962962,0.975,1.0,0.975,0.9756578947368422,0.9879629629629629,0.975,0.975,0.9880208333333333,0.9802937987329433,0.008273153381855145,6,0.9846782340495893,0.9818774890985476,0.9818792752301757,0.9805107690342758,0.9832684144991231,0.984716746688542,0.9832814889125299,0.9833036742492902,0.9832702498728568,0.9833055985504686,0.9830091940185399,0.0012200448688911292,0.975,0.975,0.975,1.0,0.975,0.975,0.9875,0.975,0.975,0.9875,0.98,0.008291561975888517,6,0.9847222222222223,0.9819444444444444,0.9819444444444444,0.9805555555555555,0.9833333333333333,0.9847222222222223,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9833333333333333,0.9830555555555553,0.0012108052620946577,0.975,0.9747899635088118,0.975,1.0,0.975,0.9750359401955148,0.9874903735078938,0.975,0.975,0.9874640598044854,0.9799780337016705,0.00829818913288971,6,0.9846759370347725,0.9819033182528435,0.9818876353100036,0.9804954910888899,0.9832829551769534,0.984695582184017,0.9832968682651707,0.9832805564083008,0.9832837618053427,0.9832817702057339,0.9830083875732027,0.0012166557781740158
