,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__leaf_size,param_clf__n_neighbors,param_clf__p,param_clf__weights,param_poly_feats__grade,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_explained_variance,split1_test_explained_variance,split2_test_explained_variance,split3_test_explained_variance,split4_test_explained_variance,split5_test_explained_variance,split6_test_explained_variance,split7_test_explained_variance,split8_test_explained_variance,split9_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,split0_train_explained_variance,split1_train_explained_variance,split2_train_explained_variance,split3_train_explained_variance,split4_train_explained_variance,split5_train_explained_variance,split6_train_explained_variance,split7_train_explained_variance,split8_train_explained_variance,split9_train_explained_variance,mean_train_explained_variance,std_train_explained_variance
2,0.03579456806182861,0.00331769895277875,0.02461977005004883,0.0024688513499675087,15,5,1,uniform,3,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'uniform', 'poly_feats__grade': 3}",0.9200766695670647,0.8955146198489999,0.9075878013770815,0.9295152140792539,0.939871862188168,0.9273473543892118,0.8967377732140764,0.9321946102192711,0.9286257200616845,0.907503032601765,0.9184974657546576,0.014801544105015003,17,0.9487245716895275,0.9509910775093949,0.9498725923414287,0.9477278885163892,0.946461147032137,0.9484398240344711,0.9490394417461855,0.94602122937579,0.9477115468705449,0.9494210086676235,0.9484410327783493,0.001441077833695351,0.9208098484846389,0.8957209537445932,0.907769541869797,0.9322017686320295,0.9415276750137545,0.9280294773178468,0.9000376710114192,0.9358672996720016,0.9305081955597724,0.9085127318052515,0.9200985163111105,0.015195580707411338,17,0.9487280923724436,0.9510113931509475,0.9499188675339093,0.9477378128359155,0.9464917303273351,0.9484722239120441,0.9490411496780927,0.9460727610545314,0.9477214630811746,0.9494376359690934,0.9484633129915488,0.0014367779258186615
3,0.03285019397735596,0.0040040741120514305,0.023204970359802245,0.0028287585606848013,15,5,1,distance,1,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'poly_feats__grade': 1}",0.9199137365693137,0.8598197475156251,0.846974860332765,0.9286735243474367,0.9118021998019429,0.8840456658269905,0.868413050463774,0.9258813781273059,0.8971118336316095,0.9047246893987504,0.8947360686015514,0.02731269723067479,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9204514169801746,0.8602243870432162,0.8475307636614874,0.9307730339863288,0.9123243774437328,0.884370649369561,0.87372727206077,0.929896555519555,0.8974187828099561,0.9052724099322398,0.8961989648807023,0.0275146682334298,39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.03312010765075683,0.002937664982061533,0.022723007202148437,0.0010841766667847273,15,5,1,distance,2,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'poly_feats__grade': 2}",0.9221358971617243,0.895148303883988,0.9015358032201716,0.9300449573933791,0.9339935856055723,0.9249025218976182,0.8881415879522875,0.92795146080189,0.9246896876607447,0.9019891504244864,0.9150532956001862,0.015696244528630974,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.922933211595793,0.8954180847941476,0.9018023599060427,0.9318710076199246,0.9360567704298933,0.9249107544186475,0.8912901066981364,0.9316495869238971,0.924714089712742,0.9026063655010454,0.916325233760027,0.015863724469915182,23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,0.03667595386505127,0.002884874455085101,0.02454397678375244,0.0012453867380880594,15,5,1,distance,3,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 1, 'clf__weights': 'distance', 'poly_feats__grade': 3}",0.9221789752869093,0.8951624927042374,0.9042809092982591,0.9310645827293698,0.9390383436796195,0.9261255100519755,0.8950340490206292,0.9283740255077785,0.9234388714160637,0.9023930414869674,0.9167090801181809,0.015159476271997083,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9230031651734714,0.8957990289124241,0.9046821201934432,0.9330612195077156,0.9409480410594976,0.9262335975434737,0.8988274333352716,0.9316463513944799,0.9238108710831756,0.9030766608686418,0.9181088489071594,0.01525349062734881,19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,0.034809017181396486,0.004796108641558469,0.02286357879638672,0.0016064431121710645,15,5,2,uniform,1,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'poly_feats__grade': 1}",0.9218468434445101,0.8636021931640205,0.8289539219536995,0.9173938487130542,0.9256674832748228,0.932036958535159,0.8414269624604802,0.9169832970599834,0.8460432953549935,0.9119540839578458,0.8905908887918571,0.03837382958136956,43,0.9300259814734386,0.9309462142512741,0.9345089363182421,0.9296377933349476,0.9293922417300756,0.9304988625320059,0.9320334366057265,0.9333694886061161,0.9291063183782988,0.9306960842184726,0.9310215357448598,0.0016826198612019633,0.9219924121786619,0.8645173139062676,0.8289616908538221,0.9200318620212815,0.9262497322949758,0.9322299309960911,0.8462662607267248,0.9228788467050879,0.8496920378001568,0.9128061929308019,0.892562628041387,0.038040402140669054,43,0.930115071033117,0.93112679075961,0.9345870505378864,0.9297517608046371,0.9294188334234967,0.9306119389704819,0.9321015268153734,0.9334642878750797,0.9292179208434653,0.9307611478808593,0.9311156328944007,0.001681074352227596
7,0.03625433444976807,0.004385454922776826,0.025363969802856445,0.00487108281190058,15,5,2,uniform,2,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'poly_feats__grade': 2}",0.9227779689741531,0.8956030067474211,0.8842898566121176,0.9222492458669362,0.930463867474402,0.9292385748396258,0.881720497563898,0.9219764198190942,0.9109587062036306,0.9106798825085421,0.910995802660982,0.017044436204092885,31,0.9393840531701545,0.9427329309512701,0.9437004498635998,0.9407618230404082,0.9411247718777663,0.9428189292814433,0.9429537351397569,0.9403963309079705,0.9432852028799579,0.9417671392148139,0.9418925366327142,0.0013532737734887942,0.9230815500029932,0.8956315723795685,0.8848886043217778,0.9243950266998514,0.9328640116426716,0.9294361484002416,0.8830676599560451,0.9281879931034356,0.9116686499808602,0.9114517765321585,0.9124672993019601,0.017652407669130423,31,0.9393984753464238,0.9427329747435583,0.9437033099278029,0.9407667796586314,0.9411278327569245,0.9428201521463194,0.9429585868044753,0.940399167389177,0.9432892557598787,0.9417851776543572,0.9418981712187549,0.0013508070409440536
8,0.03685178756713867,0.0027812008177044694,0.02438035011291504,0.001503771500303845,15,5,2,uniform,3,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'uniform', 'poly_feats__grade': 3}",0.9221221036067219,0.8976281992086454,0.8937931218002771,0.9228593405841169,0.9324707767782895,0.9268266021785616,0.8839083609745524,0.9238635180234684,0.9073482037739689,0.9074318512843003,0.9118252078212905,0.015392813504911841,27,0.941912711696758,0.9445930179887383,0.9457335420115732,0.9423319718749895,0.9415009987841647,0.9413900956394707,0.944141462879893,0.9416725634288012,0.9447632502095132,0.9429566161182437,0.9430996230632145,0.0015017963789678637,0.9222565058724963,0.897706494889619,0.8942210133503365,0.925039120556251,0.9353444835246668,0.9270626394987365,0.8858649510068609,0.9288651572346224,0.9083381508679603,0.9082015692325919,0.9132900086034142,0.01595659600208904,27,0.9419283240779407,0.9445932992039324,0.9457345597299305,0.9423422926089473,0.9415034669363618,0.9413909272314656,0.9441502287605796,0.9416727649226162,0.9447634711649686,0.9429628515693377,0.943104218620608,0.001500446215232063
9,0.03359875679016113,0.003849247142325516,0.02293233871459961,0.0027175109367985587,15,5,2,distance,1,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance', 'poly_feats__grade': 1}",0.9259532010828514,0.8820985764764478,0.8495538928943102,0.9259413080840649,0.9249813881683078,0.9288128699061581,0.8821723406425724,0.9238512550687912,0.8976059982013318,0.9031786700059696,0.9044149500530806,0.025246122829694857,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9262865614499494,0.8826412962482267,0.8496060919015722,0.9275218633417264,0.9258520100030062,0.9288129784531999,0.8853187426164818,0.9277014920928776,0.8981275415743271,0.9037481136600238,0.905561669134139,0.025453812673346548,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
10,0.036673974990844724,0.004608933217370298,0.025272011756896973,0.0035703537963884422,15,5,2,distance,2,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance', 'poly_feats__grade': 2}",0.9246569933224711,0.8958439551506513,0.883866249906004,0.9287303979442618,0.932364825059468,0.927022882922423,0.8839512176539484,0.9238327031034204,0.9115118510599991,0.9024297349392183,0.9114210811061867,0.01774336025549434,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.925197970018526,0.8960315278765153,0.8845245250671424,0.930565138164783,0.9346812635011091,0.9270260921646245,0.8861918655989834,0.9279267748831562,0.9115888601658839,0.9029862832874942,0.9126720300728216,0.01807094240034794,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
11,0.03648355007171631,0.004127374259751235,0.025699424743652343,0.003272118340954208,15,5,2,distance,3,"{'clf__leaf_size': 15, 'clf__n_neighbors': 5, 'clf__p': 2, 'clf__weights': 'distance', 'poly_feats__grade': 3}",0.9250238565556788,0.8978568814503775,0.8913714948361746,0.9295898732472037,0.9334543232647183,0.9253121987975657,0.8845575138858175,0.9250951202978327,0.9083425577524055,0.9010781317292116,0.9121681951816986,0.016730342332063816,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9254182588368017,0.898159517441362,0.8918980149523745,0.931449174355904,0.9362508142429161,0.9253256613802225,0.8872506035264275,0.9286423211169013,0.908543763918262,0.9016382105896571,0.9134576340360829,0.017050539029846334,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
